Component,Category,File Path,Status,Description,Features,Dependencies,Import Updates,Key Functions,API Endpoints
Ready to Use,Documentation,http://localhost:8000/docs,✅ Ready,Swagger UI documentation,Interactive API docs,All endpoints,FastAPI,All routes,All endpoints
Ready to Use,Documentation,http://localhost:8000/redoc,✅ Ready,ReDoc documentation,Alternative API docs,All endpoints,FastAPI,All routes,All endpoints
Ready to Use,Development,Database Scripts,✅ Ready,Run development scripts,Database setup,All dependencies,Python scripts,ensure_indexes seed_dev,Database setup
Ready to Use,Endpoints,Root Endpoint,✅ Ready,GET / - Root endpoint,Service information,Basic info,FastAPI,Root handler,GET /
Ready to Use,Endpoints,Health Endpoint,✅ Ready,GET /health - Service health,Health monitoring,Database connectivity,FastAPI,Health handler,GET /health
Ready to Use,Endpoints,Auth Endpoints,✅ Ready,POST /auth/* - Authentication,User authentication,Token management,FastAPI,Auth handlers,POST /auth/login /auth/refresh /auth/logout
Ready to Use,Endpoints,User Endpoints,✅ Ready,GET/POST/DELETE /users/* - User management,User CRUD operations,Password hashing,FastAPI,User handlers,GET POST DELETE /users
Ready to Use,Endpoints,Blockchain Endpoints,✅ Ready,GET /chain/* - Blockchain proxy,Blockchain service integration,HTTP proxying,FastAPI httpx,Blockchain handlers,GET /chain/info /chain/height /chain/balance
Ready to Use,Endpoints,Wallet Endpoints,✅ Ready,GET/POST /wallets/* - Wallet proxy,Wallet service integration,HTTP proxying,FastAPI httpx,Wallet handlers,GET POST /wallets
Ready to Use,Endpoints,Meta Endpoints,✅ Ready,GET /meta/* - Meta information,Service metadata,Dependency checks,FastAPI,Meta handlers,GET /meta/ping
