Service Category,Service Name,Dockerfile Path,Image Name,Port,Container Compose,API Hook,Network Names,Volumes,DockerHub Tag,Base Image,Multi-Stage,Distroless Runtime,Notes
blockchain,contract-deployment,infrastructure/docker/blockchain/Dockerfile.contract-deployment,contract-deployment,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/contracts,/lucid-net,/data/contracts,ghcr.io/hamigames/lucid/contract-deployment:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for contract deployment
blockchain,blockchain-main,infrastructure/docker/blockchain/Dockerfile,blockchain-main,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/blockchain,/lucid-net,/data/blockchain,ghcr.io/hamigames/lucid/blockchain:latest,gcr.io/distroless/python3-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for main blockchain service
common,timelock,infrastructure/docker/common/Dockerfile.timelock.distroless,timelock,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/timelock,/lucid-net,/data/timelock,ghcr.io/hamigames/lucid/timelock:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for timelock functionality
common,lucid-governor,infrastructure/docker/common/Dockerfile.lucid-governor.distroless,lucid-governor,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/governor,/lucid-net,/data/governor,ghcr.io/hamigames/lucid/lucid-governor:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for Lucid governor
common,common,infrastructure/docker/common/Dockerfile,common,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/common,/lucid-net,/data/common,ghcr.io/hamigames/lucid/common:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for common utilities
common,common-common,infrastructure/docker/common/Dockerfile.common,common-common,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/common,/lucid-net,/data/common,ghcr.io/hamigames/lucid/common:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for common utilities
common,common-distroless,infrastructure/docker/common/Dockerfile.distroless,common-distroless,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/common,/lucid-net,/data/common,ghcr.io/hamigames/lucid/common:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for common utilities distroless
common,common-common-distroless,infrastructure/docker/common/Dockerfile.common.distroless,common-common-distroless,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/common,/lucid-net,/data/common,ghcr.io/hamigames/lucid/common:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for common utilities common distroless
databases,database-monitoring,infrastructure/docker/databases/Dockerfile.database-monitoring,database-monitoring,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/monitoring,/lucid-net,/data/monitoring,ghcr.io/hamigames/lucid/database-monitoring:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for database monitoring
databases,database-backup,infrastructure/docker/databases/Dockerfile.database-backup,database-backup,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/backup,/lucid-net,/data/backup,ghcr.io/hamigames/lucid/database-backup:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for database backup
databases,mongodb,infrastructure/docker/databases/Dockerfile.mongodb,mongodb,27017/27018,docker-compose.yml docker-compose.dev.yml,/api/v1/mongodb,/lucid-net,/data/mongodb,ghcr.io/hamigames/lucid/mongodb:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for MongoDB
gui,desktop-environment-distroless,infrastructure/docker/gui/Dockerfile.desktop-environment.distroless,desktop-environment,8080/8083,docker-compose.yml docker-compose.dev.yml,/api/v1/desktop,/lucid-net,/data/desktop,ghcr.io/hamigames/lucid/desktop-environment:latest,gcr.io/distroless/base-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for desktop environment
node,task-proofs,infrastructure/docker/node/Dockerfile.task-proofs.distroless,task-proofs,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/proofs,/lucid-net,/data/proofs,ghcr.io/hamigames/lucid/task-proofs:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for task proofs
node,leader-selection,infrastructure/docker/node/Dockerfile.leader-selection.distroless,leader-selection,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/leader,/lucid-net,/data/leader,ghcr.io/hamigames/lucid/leader-selection:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for leader selection
node,dht-node,infrastructure/docker/node/Dockerfile.dht-node,dht-node,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/dht,/lucid-net,/data/dht,ghcr.io/hamigames/lucid/dht-node:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for DHT node
payment-systems,usdt-trc20,infrastructure/docker/payment-systems/Dockerfile.usdt-trc20.distroless,usdt-trc20,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/usdt,/lucid-net,/data/usdt,ghcr.io/hamigames/lucid/usdt-trc20:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for USDT TRC20
payment-systems,payout-router-v0,infrastructure/docker/payment-systems/Dockerfile.payout-router-v0.distroless,payout-router-v0,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/payout,/lucid-net,/data/payout,ghcr.io/hamigames/lucid/payout-router:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for payout router v0
payment-systems,tron-client,infrastructure/docker/payment-systems/Dockerfile.tron-client,tron-client,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/tron,/lucid-net,/data/tron,ghcr.io/hamigames/lucid/tron-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for TRON client
rdp,xrdp-integration,infrastructure/docker/rdp/Dockerfile.xrdp-integration,xrdp-integration,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/xrdp,/lucid-net,/data/xrdp,ghcr.io/hamigames/lucid/xrdp-integration:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for XRDP integration
rdp,rdp-server-manager,infrastructure/docker/rdp/Dockerfile.rdp-server-manager,rdp-server-manager,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/rdp-server,/lucid-net,/data/rdp-server,ghcr.io/hamigames/lucid/rdp-server-manager:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for RDP server manager
rdp,rdp-server,infrastructure/docker/rdp/Dockerfile.rdp-server,rdp-server,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/rdp,/lucid-net,/data/rdp,ghcr.io/hamigames/lucid/rdp-server:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for RDP server
rdp,session-host-manager,infrastructure/docker/rdp/Dockerfile.session-host-manager,session-host-manager,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/session-host,/lucid-net,/data/session-host,ghcr.io/hamigames/lucid/session-host-manager:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for session host manager
rdp,clipboard-handler,infrastructure/docker/rdp/Dockerfile.clipboard-handler.distroless,clipboard-handler,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/clipboard,/lucid-net,/data/clipboard,ghcr.io/hamigames/lucid/clipboard-handler:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for clipboard handler
rdp,rdp-host,infrastructure/docker/rdp/Dockerfile.rdp-host.distroless,rdp-host,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/rdp-host,/lucid-net,/data/rdp-host,ghcr.io/hamigames/lucid/rdp-host:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for RDP host
rdp,keystroke-monitor,infrastructure/docker/rdp/Dockerfile.keystroke-monitor.distroless,keystroke-monitor,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/keystroke,/lucid-net,/data/keystroke,ghcr.io/hamigames/lucid/keystroke-monitor:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for keystroke monitoring
rdp,resource-monitor,infrastructure/docker/rdp/Dockerfile.resource-monitor.distroless,resource-monitor,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/resource,/lucid-net,/data/resource,ghcr.io/hamigames/lucid/resource-monitor:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for resource monitoring
rdp,window-focus-monitor,infrastructure/docker/rdp/Dockerfile.window-focus-monitor.distroless,window-focus-monitor,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/window-focus,/lucid-net,/data/window-focus,ghcr.io/hamigames/lucid/window-focus-monitor:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for window focus monitoring
rdp,file-transfer-handler,infrastructure/docker/rdp/Dockerfile.file-transfer-handler.distroless,file-transfer-handler,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/file-transfer,/lucid-net,/data/file-transfer,ghcr.io/hamigames/lucid/file-transfer-handler:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for file transfer handling
rdp,wayland-integration,infrastructure/docker/rdp/Dockerfile.wayland-integration.distroless,wayland-integration,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/wayland,/lucid-net,/data/wayland,ghcr.io/hamigames/lucid/wayland-integration:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for Wayland integration
rdp,server-manager,infrastructure/docker/rdp/Dockerfile.server-manager,server-manager,3389/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/server-manager,/lucid-net,/data/server-manager,ghcr.io/hamigames/lucid/server-manager:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for server manager
sessions,session-recorder,infrastructure/docker/sessions/Dockerfile.session-recorder,session-recorder,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/session-recorder,/lucid-net,/data/session-recorder,ghcr.io/hamigames/lucid/session-recorder:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for session recording
sessions,session-orchestrator,infrastructure/docker/sessions/Dockerfile.session-orchestrator,session-orchestrator,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/session-orchestrator,/lucid-net,/data/session-orchestrator,ghcr.io/hamigames/lucid/session-orchestrator:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for session orchestration
sessions,clipboard-handler,infrastructure/docker/sessions/Dockerfile.clipboard-handler.distroless,session-clipboard-handler,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/session-clipboard,/lucid-net,/data/session-clipboard,ghcr.io/hamigames/lucid/session-clipboard-handler:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for session clipboard handling
sessions,orchestrator,infrastructure/docker/sessions/Dockerfile.orchestrator,session-orchestrator,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/orchestrator,/lucid-net,/data/orchestrator,ghcr.io/hamigames/lucid/session-orchestrator:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for session orchestration
sessions,merkle-builder,infrastructure/docker/sessions/Dockerfile.merkle_builder,merkle-builder,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/merkle,/lucid-net,/data/merkle,ghcr.io/hamigames/lucid/merkle-builder:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for Merkle tree building
sessions,chunker,infrastructure/docker/sessions/Dockerfile.chunker,chunker,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/chunker,/lucid-net,/data/chunker,ghcr.io/hamigames/lucid/chunker:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for data chunking
sessions,encryptor,infrastructure/docker/sessions/Dockerfile.encryptor,encryptor,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/encrypt,/lucid-net,/data/encrypt,ghcr.io/hamigames/lucid/encryptor:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for data encryption
tools,openapi-gateway,infrastructure/docker/tools/Dockerfile.openapi-gateway,openapi-gateway,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/openapi,/lucid-net,/data/openapi,ghcr.io/hamigames/lucid/openapi-gateway:latest,gcr.io/distroless/base-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for OpenAPI gateway
tools,openapi-server,infrastructure/docker/tools/Dockerfile.openapi-server,openapi-server,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/openapi,/lucid-net,/data/openapi,ghcr.io/hamigames/lucid/openapi-server:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for OpenAPI server
tools,tor-proxy,infrastructure/docker/tools/Dockerfile.tor-proxy,tor-proxy,9050/9051,docker-compose.yml docker-compose.dev.yml,/api/v1/tor,/lucid-net,/data/tor,ghcr.io/hamigames/lucid/tor-proxy:latest,gcr.io/distroless/base-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for Tor proxy
tools,server-tools,infrastructure/docker/tools/Dockerfile.server-tools,server-tools,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/server-tools,/lucid-net,/data/server-tools,ghcr.io/hamigames/lucid/server-tools:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for server tools
tools,tunnel-tools,infrastructure/docker/tools/Dockerfile.tunnel-tools,tunnel-tools,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/tunnel,/lucid-net,/data/tunnel,ghcr.io/hamigames/lucid/tunnel-tools:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for tunnel tools
tools,api-gateway,infrastructure/docker/tools/Dockerfile.api-gateway,api-gateway,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/gateway,/lucid-net,/data/gateway,ghcr.io/hamigames/lucid/api-gateway:latest,gcr.io/distroless/base-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for API gateway
tools,api-server,infrastructure/docker/tools/Dockerfile.api-server,api-server,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/server,/lucid-net,/data/server,ghcr.io/hamigames/lucid/api-server:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for API server
users,authentication,infrastructure/docker/users/Dockerfile.authentication,user-authentication,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/user-auth,/lucid-net,/data/user-auth,ghcr.io/hamigames/lucid/user-authentication:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for user authentication
users,authentication-service,infrastructure/docker/users/Dockerfile.authentication-service.distroless,authentication-service,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/auth-service,/lucid-net,/data/auth-service,ghcr.io/hamigames/lucid/authentication-service:latest,gcr.io/distroless/python3-debian11:latest,Yes,Yes,Multi-stage with distroless runtime for authentication service
wallet,key-rotation,infrastructure/docker/wallet/Dockerfile.key-rotation.distroless,key-rotation,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/key-rotation,/lucid-net,/data/key-rotation,ghcr.io/hamigames/lucid/key-rotation:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for key rotation
wallet,role-manager,infrastructure/docker/wallet/Dockerfile.role-manager.distroless,role-manager,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/role-manager,/lucid-net,/data/role-manager,ghcr.io/hamigames/lucid/role-manager:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for role management
wallet,software-vault,infrastructure/docker/wallet/Dockerfile.software-vault.distroless,software-vault,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/vault,/lucid-net,/data/vault,ghcr.io/hamigames/lucid/software-vault:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for software vault
