File Path,Component Name,Category,Change Type,Before Value,After Value,Description,Impact
blockchain/governance/timelock.py,Timelock Core,Governance,Environment Variable Update,mongodb://localhost:27017,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MongoDB connection string in test function,Test functions now use distroless MongoDB
blockchain/payment-systems/payout_router_kyc.py,Payout Router KYC,Payment Systems,Environment Variable Update,mongodb://localhost:27017,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MongoDB connection string in test function,Test functions now use distroless MongoDB
blockchain/payment-systems/payout_router_v0.py,Payout Router V0,Payment Systems,Environment Variable Update,mongodb://localhost:27017,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MongoDB connection string in test function,Test functions now use distroless MongoDB
blockchain/on_system_chain/chain_client.py,On-System Chain Client,Blockchain Core,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated RPC URL default to use distroless service name,Chain client now connects to distroless on-chain service
03-api-gateway/api/app/routes/chain_proxy.py,Chain Proxy Route,API Gateway,Environment Variable Update,http://127.0.0.1:8084,http://blockchain-core-distroless:8084,Updated BLOCKCHAIN_CORE_URL to use distroless service name,API gateway now proxies to distroless blockchain core
03-api-gateway/api/app/routes/wallets_proxy.py,Wallets Proxy Route,API Gateway,Environment Variable Update,http://127.0.0.1:8084,http://blockchain-core-distroless:8084,Updated BLOCKCHAIN_CORE_URL to use distroless service name,API gateway now proxies to distroless blockchain core
03-api-gateway/api/app/utils/config.py,API Gateway Config,API Gateway,Environment Variable Update,127.0.0.1,api-gateway-distroless,Updated host for MongoDB connection to use distroless service name,API gateway now connects to distroless MongoDB
admin/admin-ui/api_handlers.py,Admin UI API Handlers,Admin UI,CORS Configuration Update,http://localhost:3000,http://admin-ui-distroless:3000,Updated allow_origins to use distroless service names,CORS now allows distroless admin UI service
admin/admin-ui/api_handlers.py,Admin UI API Handlers,Admin UI,CORS Configuration Update,http://localhost:8098,http://api-gateway-distroless:8098,Updated allow_origins to use distroless service names,CORS now allows distroless API gateway service
admin/admin-ui/diagnostics.py,Admin UI Diagnostics,Admin UI,Service URL Update,http://localhost:8084,http://blockchain-api-distroless:8084,Updated service endpoint URLs to use distroless service names,Diagnostics now check distroless blockchain API
admin/admin-ui/diagnostics.py,Admin UI Diagnostics,Admin UI,Service URL Update,http://localhost:8085,http://auth-service-distroless:8085,Updated service endpoint URLs to use distroless service names,Diagnostics now check distroless auth service
admin/admin-ui/diagnostics.py,Admin UI Diagnostics,Admin UI,Service URL Update,http://localhost:3000,http://admin-ui-distroless:3000,Updated service endpoint URLs to use distroless service names,Diagnostics now check distroless admin UI service
admin/system/admin_controller.py,Admin Controller,Admin System,Environment Variable Update,mongodb://localhost:27017/lucid,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MONGODB_URI to use distroless service name,Admin controller now uses distroless MongoDB
admin/system/admin_controller.py,Admin Controller,Admin System,Email Address Update,admin@test.com,admin@lucid-distroless.local,Updated default admin email to use distroless domain,Admin accounts now use distroless email domain
app/config.py,Application Config,Core Application,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MONGO_URI to use distroless service name,Core application now uses distroless MongoDB
auth/authentication_service.py,Authentication Service,Authentication,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MONGO_URI to use distroless service name,Authentication service now uses distroless MongoDB
configs/docker/distroless/production.env,Production Environment Config,Configuration,New File Creation,N/A,N/A,Created comprehensive production environment configuration with distroless service connections,Centralized configuration for all distroless services
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,mongo-distroless:27019,MongoDB service configuration for distroless deployment,Database service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,on-chain-distroless:8545,On-system chain RPC configuration for distroless deployment,Blockchain service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,blockchain-core-distroless:8084,Blockchain core service configuration for distroless deployment,Core blockchain service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,auth-service-distroless:8085,Authentication service configuration for distroless deployment,Authentication service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,admin-ui-distroless:3000,Admin UI service configuration for distroless deployment,Admin interface service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,api-gateway-distroless:8080,API gateway service configuration for distroless deployment,API gateway service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,storage-node-*-distroless:8080,Storage node service configuration for distroless deployment,Storage service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,blockchain-core-xyz123.onion,Tor onion service addresses for blockchain core,Onion service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,auth-service-def789.onion,Tor onion service addresses for authentication service,Onion service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,admin-ui-ghi012.onion,Tor onion service addresses for admin UI service,Onion service configuration
configs/docker/distroless/production.env,Production Environment Config,Configuration,Environment Variable Definition,N/A,perspective-*-*.onion,Perspective onion service addresses for various services,Onion service configuration
